Quartos,Banheiros,Distância ao centro (km),Garagem,Preço (R$)
1,1,1.9,0,675
1,1,2.0,0,625
1,1,1.6,0,700
1,1,1.8,0,700
1,1,1.9,0,650
1,1,1.6,0,775
1,1,1.5,0,775
1,1,2.0,0,775
1,1,1.4,0,775
1,1,1.6,0,750
1,1,1.4,0,750
1,1,1.1,0,825
1,1,1.2,0,775
1,1,1.3,0,850
1,1,1.3,0,850
1,1,1.3,0,850
1,1,1.2,0,800
1,1,1.8,0,775
1,1,1.7,0,825
1,1,1.1,0,875
1,1,1.3,0,900
1,1,1.4,0,850
1,1,1.0,0,925
1,1,1.7,0,875
1,1,0.9,0,925
1,1,1.1,0,925
1,1,0.7,0,925
1,1,1.1,0,875
1,1,1.3,0,875
1,1,1.1,1,950
1,1,1.0,1,1000
1,1,1.4,1,1000
1,1,1.2,1,1000
1,1,1.9,1,975
1,1,0.7,0,950
1,1,1.7,1,975
1,1,1.5,1,1000
1,1,1.5,1,1000
1,1,0.9,0,950
1,1,0.8,0,975
1,1,0.8,0,975
1,1,1.0,1,1050
1,1,0.8,0,1075
1,1,1.1,1,1100
1,1,0.5,0,1050
1,1,1.0,1,1050
1,1,1.0,1,1050
1,1,1.2,1,1050
1,1,1.0,1,1050
1,1,0.6,0,1025
1,1,1.1,1,1075
1,1,1.0,1,1075
1,1,0.7,0,1050
1,1,1.0,1,1025
1,1,0.6,0,1075
1,1,0.8,1,1125
1,1,0.5,0,1100
1,1,0.9,1,1100
2,1,1.9,0,1175
2,1,1.5,0,1150
2,1,1.6,0,1175
1,1,0.9,1,1100
1,1,0.5,0,1150
1,1,0.5,0,1150
1,1,0.6,1,1175
1,1,1.0,1,1150
1,1,0.5,0,1150
1,1,1.0,1,1125
1,1,0.5,0,1100
2,1,1.8,0,1150
1,1,0.8,1,1100
2,1,1.9,0,1175
2,1,1.7,0,1250
2,1,1.9,0,1225
2,1,1.4,0,1225
1,1,0.6,1,1200
1,1,0.4,0,1225
2,1,1.8,0,1200
1,1,0.5,0,1200
1,1,0.4,0,1200
2,1,1.8,0,1250
1,1,0.6,1,1175
1,1,0.4,0,1225
2,1,1.7,0,1175
2,1,1.8,0,1225
2,1,1.6,0,1200
2,1,1.5,0,1175
2,1,1.7,0,1225
2,1,1.6,0,1225
2,1,1.5,0,1275
2,1,1.7,0,1275
2,1,1.1,0,1300
1,1,0.5,1,1325
1,1,0.3,0,1300
2,1,1.6,0,1275
2,1,1.3,0,1275
2,1,1.0,0,1275
1,1,0.4,0,1275
2,1,1.0,0,1325
2,1,1.3,0,1300
2,1,1.4,1,1325
2,1,1.1,0,1300
2,1,1.1,0,1275
2,1,1.4,0,1275
2,1,1.0,0,1275
2,1,1.2,0,1325
2,1,1.4,0,1300
2,1,1.4,0,1275
1,1,0.3,0,1400
2,1,1.6,1,1375
2,1,0.8,0,1400
2,1,1.2,0,1350
2,2,2.0,0,1375
2,1,0.7,0,1375
2,1,1.5,1,1375
2,1,1.7,1,1375
2,1,1.8,1,1400
2,1,1.0,0,1350
2,1,1.5,1,1425
2,1,1.8,1,1400
2,1,1.6,1,1400
2,1,0.9,0,1400
2,1,1.7,1,1350
1,1,0.3,0,1400
2,1,1.4,0,1350
1,1,0.3,0,1350
2,1,1.5,1,1375
2,1,1.7,1,1350
2,2,1.6,0,1450
2,1,1.0,0,1425
1,1,0.4,1,1425
2,1,0.7,0,1450
2,2,1.7,0,1500
2,2,1.6,0,1500
2,2,1.6,0,1475
2,1,1.9,1,1475
2,1,1.7,1,1450
2,1,1.3,1,1450
2,1,1.2,1,1475
2,2,1.6,0,1475
2,1,1.0,1,1475
2,1,0.8,0,1475
2,1,0.7,0,1475
2,2,1.8,0,1450
2,1,1.3,1,1450
2,1,1.5,1,1450
2,1,0.6,0,1450
2,1,0.7,0,1475
