massa,temperatura,frequencia_cardiaca
1.997,41.9,520
3.023,41.8,442
3.079,42.6,432
2.043,41.6,484
1.742,40.5,461
0.938,41.2,563
0.592,40.9,600
1.274,42.1,494
0.956,42.1,518
1.876,41.5,497
0.898,43.5,555
0.442,42.7,541
1.709,40.4,475
1.697,42.6,520
1.384,41.8,486
0.78,41.6,593
1.844,40.6,518
1.115,41.5,563
2.531,42.7,448
1.191,42.3,570
1.021,41.9,516
0.304,42.7,600
1.428,42.8,539
0.855,42.3,600
1.464,43.3,448
2.322,42.1,475
1.592,40.4,514
1.857,43.2,492
0.692,41.6,593
1.829,41.6,524
1.597,42.8,499
1.172,41.7,497
1.796,42.2,510
1.265,40.9,524
1.157,41.4,537
1.904,43.5,510
1.758,41.9,455
1.473,42.0,600
1.308,42.2,534
0.331,42.9,600
2.291,41.3,528
0.1,42.5,600
0.509,41.5,578
0.997,40.8,552
0.438,42.4,551
3.05,41.4,438
2.314,41.0,491
2.807,40.7,465
1.76,42.6,475
0.18,42.4,600
1.75,42.3,492
1.732,42.2,492
3.366,42.4,396
2.157,41.2,516
2.659,41.3,496
1.913,42.7,561
1.255,41.4,511
0.684,41.9,576
1.777,42.7,512
2.954,41.8,534
2.126,41.3,462
1.982,41.8,522
1.973,41.9,476
0.1,41.6,600
1.714,41.0,519
1.885,41.3,510
1.558,41.1,533
2.061,42.9,529
0.122,41.2,600
2.014,42.4,600
2.071,42.9,525
2.151,41.7,515
0.727,41.8,549
1.582,43.9,465
2.186,40.7,477
2.589,42.1,438
0.785,42.5,539
1.716,42.0,495
3.644,42.5,357
1.686,41.5,541
0.707,41.9,580
2.366,41.0,472
1.025,41.5,600
1.905,41.0,532
3.622,42.8,373
1.016,43.0,528
1.944,42.6,475
1.44,40.0,497
1.247,41.0,587
0.1,41.6,599
2.941,40.9,488
1.51,41.2,538
1.699,41.5,517
1.115,42.1,564
3.086,41.0,510
0.1,41.9,600
1.781,41.5,505
1.007,41.5,575
1.857,41.4,534
1.807,42.7,529
3.0,37.2,150
131.037,37.5,137
197.766,37.2,112
49.781,37.4,150
152.542,37.9,150
72.1,37.8,150
102.417,37.4,150
129.516,37.1,150
3.0,36.9,150
149.166,37.8,138
68.775,37.1,150
3.0,38.0,150
3.0,37.3,150
13.628,37.1,150
94.497,37.2,143
93.205,36.8,125
3.0,37.4,150
217.536,37.9,88
68.098,37.0,150
41.134,37.7,150
121.935,38.3,137
110.171,37.8,137
92.409,37.5,150
3.0,37.5,150
215.114,38.0,136
3.0,37.9,150
288.98,37.1,40
10.061,36.4,150
3.0,37.6,150
257.617,38.0,60
3.0,37.7,150
253.146,38.1,64
3.0,38.2,150
193.782,36.7,91
70.524,37.5,150
132.285,37.0,131
82.03,37.8,150
3.0,36.7,150
103.231,37.1,150
81.567,38.1,150
276.075,38.4,57
167.157,37.8,144
3.0,37.8,150
3.0,36.9,150
43.059,37.9,150
77.409,38.3,134
3.0,37.5,150
66.731,36.5,150
3.0,37.8,150
3.0,37.2,150
63.732,38.0,148
120.405,37.2,124
59.297,37.0,150
3.0,38.5,150
3.0,37.6,150
47.903,37.8,150
16.95,37.2,150
3.0,36.7,150
234.497,37.4,94
101.125,38.5,150
57.208,37.0,139
90.346,37.1,126
5.343,37.0,150
158.164,37.5,150
77.737,37.1,150
123.891,37.0,134
3.0,36.8,150
260.942,36.8,81
4.936,37.3,150
3.0,37.5,150
97.046,37.5,147
3.0,37.2,150
120.092,37.0,142
145.139,36.7,138
3.738,37.8,150
3.0,36.7,150
95.972,37.0,150
3.0,37.5,150
4.816,37.5,150
31.544,38.0,150
153.569,36.9,134
214.157,36.3,77
127.707,37.4,144
9.601,37.5,150
186.778,37.6,113
28.812,37.3,150
109.445,37.3,150
277.54,37.9,55
190.121,37.3,64
3.0,36.6,150
71.842,38.3,150
48.09,37.9,132
93.561,37.9,124
184.375,37.7,100
133.278,38.5,137
94.822,37.3,136
153.034,37.1,125
22.234,37.7,150
173.754,37.2,108
3.0,37.3,150
16.056,27.2,50
20.845,31.2,50
3.81,26.3,50
21.968,32.0,36
12.24,26.6,50
11.034,30.3,50
13.848,30.7,44
13.772,35.0,50
22.745,28.5,25
8.994,30.2,50
1.0,34.6,50
6.585,27.0,50
16.585,30.2,34
1.0,29.0,50
7.923,25.5,50
7.818,25.0,50
8.153,32.1,50
19.013,29.2,31
30.0,30.2,20
9.807,30.6,50
5.411,28.4,50
5.653,27.9,50
7.96,34.5,38
18.732,33.7,22
7.258,28.9,50
3.777,26.7,50
17.485,33.8,50
1.0,28.4,50
1.0,32.1,50
7.001,32.1,50
7.112,33.5,50
14.927,31.8,47
12.609,26.2,50
8.521,28.4,50
4.365,25.8,50
14.848,26.2,50
1.0,35.0,50
9.226,28.4,50
9.699,33.3,50
11.202,28.9,50
12.462,25.0,42
15.946,30.5,46
10.147,31.0,50
3.774,30.6,50
13.266,25.0,50
13.781,30.8,50
23.324,33.0,15
1.0,28.1,50
14.141,27.8,50
3.957,28.2,50
2.614,25.9,50
18.429,27.2,50
13.947,30.6,44
15.602,28.3,50
30.0,29.7,31
4.375,29.9,50
4.984,35.0,50
5.5,31.9,50
14.974,25.3,43
8.02,29.8,50
11.422,26.0,50
14.885,31.7,50
16.671,31.4,46
1.0,31.3,50
12.173,26.2,45
18.425,29.9,50
10.227,30.1,50
5.872,30.3,50
6.524,29.1,50
6.17,33.8,50
8.505,28.7,50
11.572,33.1,42
12.136,32.7,50
