massa,ph,brix
104.97,3.79,11.63
115.23,3.78,11.45
115.79,3.88,11.41
105.43,3.75,11.41
102.42,3.61,11.16
94.38,3.7,11.56
90.92,3.66,11.79
97.74,3.81,11.22
94.56,3.81,11.27
103.76,3.74,11.44
93.98,3.99,11.5
89.42,3.88,11.26
102.09,3.6,11.23
101.97,3.87,11.53
98.84,3.77,11.2
92.8,3.75,11.71
103.44,3.62,11.56
96.15,3.73,11.62
110.31,3.89,11.33
96.91,3.83,11.7
95.21,3.78,11.28
88.04,3.88,11.77
99.28,3.9,11.57
93.55,3.84,11.81
99.64,3.96,10.98
108.22,3.81,11.44
100.92,3.6,11.46
103.57,3.95,11.4
91.92,3.75,11.68
103.29,3.75,11.6
100.97,3.9,11.36
96.72,3.76,11.21
102.96,3.83,11.5
97.65,3.66,11.42
96.57,3.72,11.47
104.04,3.99,11.53
102.58,3.79,11.12
99.73,3.81,11.99
98.08,3.83,11.49
88.31,3.91,11.65
107.91,3.71,11.78
85.98,3.86,11.94
90.09,3.74,11.52
94.97,3.64,11.51
89.38,3.85,11.32
115.5,3.72,11.44
108.14,3.68,11.55
113.07,3.64,11.54
102.6,3.88,11.25
86.8,3.85,11.56
102.5,3.83,11.36
102.32,3.83,11.36
118.66,3.85,11.26
106.57,3.7,11.66
111.59,3.72,11.69
104.13,3.88,11.88
97.55,3.72,11.32
91.84,3.79,11.57
102.77,3.88,11.5
114.54,3.77,12.04
106.26,3.71,11.29
104.82,3.78,11.64
104.73,3.79,11.33
84.85,3.76,11.67
102.14,3.68,11.53
103.85,3.71,11.53
100.58,3.69,11.57
105.61,3.91,11.71
86.22,3.71,11.6
105.14,3.85,12.27
105.71,3.91,11.69
106.51,3.77,11.65
92.27,3.78,11.4
100.82,4.03,11.13
106.86,3.64,11.41
110.89,3.81,11.28
92.85,3.87,11.35
102.16,3.8,11.37
121.44,3.86,11.09
101.86,3.73,11.67
92.07,3.79,11.6
108.66,3.68,11.43
95.25,3.73,11.85
104.05,3.67,11.68
121.22,3.9,11.2
95.16,3.93,11.36
104.44,3.88,11.31
99.4,3.48,11.3
97.47,3.68,11.83
85.7,3.76,11.53
114.41,3.66,11.73
100.1,3.7,11.59
101.99,3.74,11.51
96.15,3.81,11.63
115.86,3.68,11.93
80.48,3.78,11.62
102.81,3.74,11.46
95.07,3.74,11.67
103.57,3.73,11.68
103.07,3.88,11.63
115.86,3.54,13.15
123.05,3.6,13.02
126.39,3.54,13.11
118.99,3.58,13.22
124.13,3.68,13.26
120.11,3.67,12.94
121.62,3.59,13.02
122.98,3.52,13.42
114.97,3.48,13.23
123.96,3.66,13.13
119.94,3.51,13.02
116.61,3.7,12.97
115.87,3.57,13.08
117.18,3.52,13.05
121.22,3.55,12.91
121.16,3.46,12.72
116.41,3.58,13.06
127.38,3.69,12.97
119.9,3.5,13.0
118.56,3.63,12.83
122.6,3.75,12.98
122.01,3.67,12.92
121.12,3.6,13.02
116.13,3.6,13.1
127.26,3.7,13.43
116.16,3.69,13.04
130.95,3.52,12.83
117.0,3.39,12.89
116.2,3.62,13.07
129.38,3.7,12.88
115.51,3.65,12.74
129.16,3.72,12.91
111.43,3.74,12.98
126.19,3.44,12.88
120.03,3.6,12.91
123.11,3.49,12.97
120.6,3.65,13.14
114.38,3.45,13.26
121.66,3.53,13.31
120.58,3.72,13.01
130.3,3.78,12.95
124.86,3.66,13.27
115.18,3.67,13.21
111.21,3.48,12.59
118.65,3.67,13.3
120.37,3.76,12.72
111.48,3.59,13.08
119.84,3.39,12.98
113.48,3.67,13.07
115.3,3.55,12.79
119.69,3.7,12.8
122.52,3.55,12.84
119.46,3.5,12.89
114.01,3.8,13.01
116.5,3.62,12.98
118.9,3.66,13.15
117.35,3.54,12.94
108.49,3.45,13.27
128.22,3.58,13.12
121.56,3.91,13.22
119.36,3.5,12.68
121.02,3.52,12.72
116.77,3.49,13.34
124.41,3.6,13.3
120.39,3.51,13.3
122.69,3.5,12.96
