Peso (g),Brix (°Brix),pH,Índice de Qualidade
4.67,18.86,4.07,3.95
6.96,14.04,4.1,7.02
11.04,14.53,3.61,3.3
5.47,14.9,3.54,5.92
5.77,14.08,3.67,4.89
4.48,17.61,3.65,4.5
8.92,13.92,4.06,6.09
4.67,18.46,3.32,4.74
11.75,19.47,3.22,1.97
5.13,14.62,3.79,4.41
10.63,15.25,3.43,5.35
7.22,15.05,3.43,8.05
12.08,17.91,3.53,2.75
8.76,18.75,3.79,8.19
5.45,16.35,3.91,6.99
6.85,13.33,3.77,3.76
4.25,19.01,4.1,3.01
12.62,17.26,3.72,1.34
5.91,15.32,3.32,6.87
5.59,15.93,3.83,7.0
5.77,14.47,3.85,4.73
5.34,16.16,3.5,6.92
6.26,17.79,3.79,8.07
5.64,19.99,3.6,4.24
10.28,20.0,3.61,3.79
8.67,15.13,3.73,9.1
5.87,15.97,3.67,7.58
6.59,13.78,3.57,4.35
3.97,15.67,3.46,3.32
8.36,13.78,3.58,5.72
3.71,15.92,3.86,2.7
11.72,15.47,3.33,3.43
9.67,17.06,3.96,8.63
9.11,13.61,3.62,4.64
3.73,16.86,3.78,3.09
5.36,14.62,3.14,5.28
10.07,16.06,3.49,8.1
4.72,15.49,3.81,4.06
10.72,14.96,3.48,5.35
12.19,16.58,4.08,3.51
7.09,13.43,3.51,5.13
4.31,17.13,3.5,3.77
9.37,18.26,3.52,7.58
9.1,14.04,4.08,5.47
11.06,15.79,3.56,5.72
7.06,12.77,3.69,2.53
11.02,13.95,3.7,2.24
5.54,13.35,3.5,2.14
9.88,17.06,3.51,8.29
11.58,17.16,3.52,4.55
8.75,20.0,3.54,6.58
4.69,19.24,3.76,3.67
11.79,14.52,3.53,2.01
8.28,20.0,3.41,5.27
7.08,14.5,3.57,6.43
5.87,14.2,3.75,5.71
5.07,15.84,3.67,5.88
11.08,15.23,3.31,5.44
12.57,17.17,3.85,1.41
8.18,20.0,3.93,6.35
8.43,13.86,3.23,6.34
8.67,14.2,3.77,6.14
11.43,18.59,3.48,3.97
3.97,18.88,3.38,2.24
8.83,13.65,3.75,4.3
4.9,17.75,3.86,5.43
4.25,18.6,3.74,3.92
11.83,19.27,3.15,2.24
10.98,19.49,3.43,4.48
10.68,14.5,3.6,4.22
11.03,20.0,3.16,1.92
4.53,19.77,3.68,1.88
4.22,16.76,3.75,3.64
10.68,14.67,3.81,3.9
7.81,14.18,3.75,6.07
3.56,16.9,3.6,2.51
4.86,13.78,3.59,2.27
6.55,16.81,3.85,9.06
11.56,15.74,3.82,4.65
10.08,16.32,3.5,7.7
11.94,17.0,3.65,3.74
11.07,16.99,3.75,6.4
8.22,13.66,3.47,4.92
11.31,18.87,3.88,4.85
4.14,15.99,3.51,4.36
7.57,13.87,3.6,6.47
10.82,14.81,3.69,5.1
7.12,12.69,3.23,2.04
10.25,15.52,4.04,7.14
5.97,20.0,3.63,3.75
10.52,15.55,3.87,6.56
10.45,20.0,3.77,4.27
11.67,16.03,3.77,4.16
5.31,14.4,3.79,4.29
5.08,17.41,3.8,6.75
4.59,15.43,3.8,3.24
5.44,15.37,3.33,5.83
9.13,14.54,3.63,6.95
5.61,13.69,3.6,2.95
7.9,13.86,3.35,5.94
4.55,16.16,3.66,5.05
5.35,13.88,3.72,3.33
10.73,19.19,3.7,4.81
8.9,20.0,3.96,5.4
10.17,14.05,3.02,5.3
10.65,15.09,3.49,5.57
9.66,14.78,3.66,6.04
5.26,13.46,3.8,2.7
9.03,14.9,3.85,7.65
4.3,17.65,3.87,3.71
8.16,20.0,3.75,6.49
11.22,16.61,3.67,5.98
5.76,15.16,3.67,6.7
10.08,16.09,4.01,7.69
9.55,13.53,3.75,4.19
5.02,14.81,3.48,5.01
5.44,14.59,3.92,4.93
8.9,20.0,3.77,5.87
5.07,15.4,3.89,5.24
7.05,13.73,3.72,5.83
5.68,20.0,3.8,3.86
5.71,18.43,3.41,6.53
13.38,15.89,3.41,0.5
10.45,14.06,3.63,4.32
4.85,14.5,4.1,3.81
5.6,14.6,3.69,4.64
5.49,15.54,3.21,7.4
6.04,20.0,3.29,5.15
10.0,14.5,3.79,6.24
5.53,14.56,3.86,4.9
5.1,15.82,3.5,5.97
9.61,18.82,3.64,7.39
4.55,18.4,3.84,4.83
4.32,15.59,3.26,3.62
3.59,16.5,3.65,2.69
5.88,15.57,3.96,7.4
9.86,19.19,4.0,6.22
4.53,17.93,3.32,4.33
10.17,14.66,3.58,4.74
4.69,18.99,3.79,4.78
8.54,13.92,3.79,6.78
11.09,16.75,3.74,6.62
5.05,15.71,3.7,5.59
11.1,14.27,3.8,3.95
6.2,20.0,3.38,5.65
10.39,20.0,3.43,3.9
6.64,20.0,3.65,5.72
6.06,12.97,3.58,1.84
9.77,13.05,3.64,2.53
11.11,19.42,3.65,2.77
10.4,14.27,3.98,4.86
5.0,16.04,3.56,5.84
5.9,14.96,3.57,7.92
11.52,16.48,3.57,5.32
11.26,14.83,3.72,3.16
4.99,14.75,3.98,4.14
11.6,17.25,3.76,5.55
5.48,14.9,3.42,6.37
7.88,12.64,3.58,2.96
9.9,18.59,3.77,7.87
7.73,20.0,3.77,6.47
8.09,13.29,3.95,4.89
6.48,12.88,4.02,2.37
6.39,17.91,3.9,8.7
8.54,13.28,3.23,4.65
6.32,14.88,3.82,5.98
4.32,20.0,3.84,0.9
10.58,16.19,3.93,7.46
4.38,15.82,3.51,4.06
8.33,14.36,3.34,7.13
10.94,15.81,3.34,6.57
10.45,18.21,3.64,6.71
10.08,13.65,3.7,4.05
3.97,16.18,3.77,2.62
4.79,19.4,3.8,3.36
9.92,14.3,3.35,5.42
10.68,17.51,3.17,6.4
9.3,13.9,3.6,5.64
7.91,13.88,3.7,6.2
8.23,12.28,3.76,1.76
10.06,17.14,3.87,9.49
8.87,14.45,3.14,7.03
9.7,13.3,3.55,2.8
6.62,20.0,3.62,6.01
12.55,15.02,3.63,1.25
5.22,14.44,3.05,4.97
5.52,13.75,3.34,2.91
9.49,18.0,3.83,8.79
4.48,15.89,3.69,5.15
9.67,19.63,3.97,5.67
10.74,18.43,3.99,6.85
11.0,14.72,3.92,4.76
4.53,19.0,4.05,3.38
10.48,19.42,3.58,4.68
9.84,20.0,3.54,4.82
7.89,14.91,3.61,8.12
7.9,14.26,3.76,7.25
10.85,20.0,3.46,3.84
9.73,16.18,3.76,8.05
5.97,13.58,3.67,3.62
